n_samples,n_clients,num_trees,max_depth,auc_roc,auc_pr,precision,recall,f1,threshold
5000,3,25,6,0.5,0.1,0.1,1.0,0.18181818181818182,0.041912738274153205
5000,3,25,8,0.5,0.1,0.1,1.0,0.18181818181818182,0.041912738274153205
5000,3,25,10,0.5,0.1,0.1,1.0,0.18181818181818182,0.041912738274153205
5000,3,50,6,0.5,0.1,0.1,1.0,0.18181818181818182,0.041912738274153205
5000,3,50,8,0.5,0.1,0.1,1.0,0.18181818181818182,0.041912738274153205
5000,3,50,10,0.5,0.1,0.1,1.0,0.18181818181818182,0.041912738274153205
5000,3,75,6,0.5,0.1,0.1,1.0,0.18181818181818182,0.041912738274153205
5000,3,75,8,0.5,0.1,0.1,1.0,0.18181818181818182,0.041912738274153205
5000,3,75,10,0.5,0.1,0.1,1.0,0.18181818181818182,0.041912738274153205
5000,5,25,6,0.5,0.1,0.1,1.0,0.18181818181818182,0.041912738274153205
5000,5,25,8,0.5,0.1,0.1,1.0,0.18181818181818182,0.041912738274153205
5000,5,25,10,0.5,0.1,0.1,1.0,0.18181818181818182,0.041912738274153205
5000,5,50,6,0.5,0.1,0.1,1.0,0.18181818181818182,0.041912738274153205
5000,5,50,8,0.5,0.1,0.1,1.0,0.18181818181818182,0.041912738274153205
5000,5,50,10,0.5,0.1,0.1,1.0,0.18181818181818182,0.041912738274153205
5000,5,75,6,0.5,0.1,0.1,1.0,0.18181818181818182,0.041912738274153205
5000,5,75,8,0.5,0.1,0.1,1.0,0.18181818181818182,0.041912738274153205
5000,5,75,10,0.5,0.1,0.1,1.0,0.18181818181818182,0.041912738274153205
10000,3,25,6,0.5,0.1,0.1,1.0,0.18181818181818182,0.03867153452223571
10000,3,25,8,0.5,0.1,0.1,1.0,0.18181818181818182,0.03867153452223571
10000,3,25,10,0.5,0.1,0.1,1.0,0.18181818181818182,0.03867153452223571
10000,3,50,6,0.5,0.1,0.1,1.0,0.18181818181818182,0.03867153452223571
10000,3,50,8,0.5,0.1,0.1,1.0,0.18181818181818182,0.03867153452223571
10000,3,50,10,0.5,0.1,0.1,1.0,0.18181818181818182,0.03867153452223571
10000,3,75,6,0.5,0.1,0.1,1.0,0.18181818181818182,0.03867153452223571
10000,3,75,8,0.5,0.1,0.1,1.0,0.18181818181818182,0.03867153452223571
10000,3,75,10,0.5,0.1,0.1,1.0,0.18181818181818182,0.03867153452223571
10000,5,25,6,0.5,0.1,0.1,1.0,0.18181818181818182,0.03867153452223571
10000,5,25,8,0.5,0.1,0.1,1.0,0.18181818181818182,0.03867153452223571
10000,5,25,10,0.5,0.1,0.1,1.0,0.18181818181818182,0.03867153452223571
10000,5,50,6,0.5,0.1,0.1,1.0,0.18181818181818182,0.03867153452223571
10000,5,50,8,0.5,0.1,0.1,1.0,0.18181818181818182,0.03867153452223571
10000,5,50,10,0.5,0.1,0.1,1.0,0.18181818181818182,0.03867153452223571
10000,5,75,6,0.5,0.1,0.1,1.0,0.18181818181818182,0.03867153452223571
10000,5,75,8,0.5,0.1,0.1,1.0,0.18181818181818182,0.03867153452223571
10000,5,75,10,0.5,0.1,0.1,1.0,0.18181818181818182,0.03867153452223571
